ra,dec,lum,z,stellarmasses,halomasses,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestObjID,PS15mJy_cut,PS100mJy_cut,divcut,divcuts18,galcut,incompsepregion,S18coadd,S16ILC
140.82365,-0.91525918,128133847781.5928,0.5353159000000001,384401543344.7784,45907915431706.26,25.35196,22.68348,20.02811,19.1384,18.28651,0.8731003,0.2102716,0.05014311,0.03086565,0.06831861,24.9764,26.05762,20.17727,19.11452,18.37964,4.222430999999999,2.74504,0.07303151,0.06952188,0.1371131,0.1323084,0.1030938,0.07131984,0.05299829,0.03942099,1.2376487201398464e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
140.90363,-0.84795822,53913603256.47566,0.5809837,161740809769.427,7881771496591.518,20.8834,22.68908,21.28885,19.89592,19.326220000000006,0.4577676999999999,0.2637605,0.1039,0.0458277,0.1091373,22.24072,22.87411,20.95486,19.84894,19.3324,0.9155413,0.8215541,0.3437397,0.1144402,0.286725,0.1467507,0.1143472,0.07910484,0.05878337,0.04372403,1.237648720139847e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
141.02441000000005,-0.90346705,77847987663.25786,0.6965438,233543962989.7736,16124197050026.225,19.72523,23.86423,20.93695,19.90456,19.80485,0.3393227,1.049915,0.1278234999999999,0.07424369,0.3039719,21.38185,25.12117000000001,20.88814,20.11605,19.45538,0.3603136,4.171853,0.1818087,0.1576303,0.3172087,0.1373063,0.1069881,0.07401387,0.05500024,0.04091007,1.237648720139912e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
141.18724,-0.87923121,164707095366.84326,0.7403213000000001,494121286100.5298,79996018395520.22,23.99889,24.80735,20.81419,19.4971,18.84839,1.7735490000000005,1.639988,0.1294624,0.05976554,0.1040922,24.65238,25.12058,20.88651,19.65452,18.88672,3.581372,3.095491,0.2986072,0.1649256,0.2034436,0.1273757,0.09925029,0.06866089,0.0510223999999999,0.03795129,1.2376487201399772e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
141.06435,-0.8971015999999999,70571501484.36366,0.5371745,211714504453.091,13250066742197.195,22.94263,21.48286,20.65858,19.3986,18.73104,0.4307119,0.1653302999999999,0.07744393,0.03540879,0.09575555,26.79023,21.82924,20.57861,19.46736,18.8686,0.9687994,0.3009335999999999,0.1357122,0.07756018,0.1721892,0.1354668999999999,0.1055549,0.07302238,0.05426345,0.04036204,1.2376487201399777e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
141.2649,-0.85211331,39701184162.12159,0.4376715999999999,119103552486.36478,4543327456184.863,24.37367,22.05595,20.34966,19.63399,18.81243,1.001376,0.1482007,0.05767734,0.03848695,0.08676052,25.06601,24.24035,20.46215,19.70031,18.80976,3.743142,2.712863,0.1399351,0.1122051,0.1801887,0.1211308,0.09438432,0.06529463,0.04852091,0.03609064,1.2376487201400428e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.76657,-0.89568704,95949702505.00632,0.6116020999999999,287849107515.019,24772067926348.31,23.26411,20.22208,20.36554,19.65886,18.82342,0.4908369000000001,0.2302612,0.09308432,0.04790892,0.117642,26.1092,21.33188,20.41055,19.27215,18.21325,5.503662,0.5947798000000001,0.2356009,0.2070569,0.3020002,0.1024725,0.07984591,0.05523703,0.04104703,0.03053145,1.2376487201358492e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.76648,-0.86346391,82264326445.51547,0.6086675,246792979336.5464,18033278506403.117,22.36287,22.15968,21.08298,19.87449,18.66266,0.4582644,0.3431821,0.09613349,0.04454804,0.1052418999999999,24.65923,22.73306,20.81747,19.78607,19.0496,3.774437,0.7035406999999999,0.1719167,0.1067469,0.2128683,0.101629,0.07918864,0.05478233,0.04070915,0.03028012,1.2376487201358492e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
134.88467,-0.92577787,35364473142.812706,0.4481162999999999,106093419428.43813,3736101768539.479,21.86335,21.73274,20.32942,19.51922,19.54697,0.4796042,0.1130986,0.04205572,0.03115085,0.08840752,22.05188,21.77829,20.35166,19.50104,19.44514,0.540654,0.7010022,0.1106343,0.09937984,0.3451318,0.1182244999999999,0.0921197,0.06372798,0.04735672,0.0352247,1.2376487201372252e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
134.99008999999998,-0.86713067,19851614955.2595,0.3227057,59554844865.7785,1588104370867.3318,21.7446,22.1765,20.10849,19.26606,19.46785,1.854472,0.2319237999999999,0.06348805,0.04052631,0.1180423999999999,20.83526,29.44961,20.06482,19.15126,20.43175,5.970189,9.425071,0.7119933,0.429044,2.127578,0.1295431,0.1009391,0.06982923,0.0518905999999999,0.03859708,1.2376487201372897e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.60813000000002,-0.50153001,28856677373.959045,0.4109053,86570032121.87714,2699090616670.879,22.91605,21.31212,20.4519,19.49441,20.15632,1.499632,0.1210252,0.08487743,0.02900218,0.5683562,23.31593,21.41731,20.54592,19.63756,20.20674,1.6529509999999998,0.1498136,0.1045212,0.1070017,0.4257367999999999,0.1173335,0.09142546,0.06324771,0.04699983,0.03495923,1.2376487206726536e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.49909,-0.48724748,97536634907.65996,0.5419702,292609904722.97986,25636476916879.76,22.04605,21.35592,19.93913,18.98059,18.61604,0.2904224,0.1326393,0.03696568,0.02587124,0.06072624,23.63227,21.4159,20.072,19.07379,18.69244,2.390898,0.1785665,0.06864511,0.04745079,0.1310024,0.1299139,0.101228,0.07002907,0.0520391,0.03870753,1.237648720672654e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.52043999999998,-0.52458471,26290157985.84188,0.3614107,78870473957.52562,2345403020727.0728,24.9656,21.0182,20.45963,19.31786,19.1943,0.8162050000000001,0.127022,0.04626073,0.03272981,0.1911165,24.46041,21.64938,20.5928,19.47638,19.21428,3.079679,0.2079779,0.1061648999999999,0.06661087,0.1842552999999999,0.1213704999999999,0.09457109,0.06542384,0.04861693,0.03616206,1.237648720672654e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.65784,-0.52692928,97904690940.1881,0.6036064,293714072820.5643,25839480853821.99,20.98985,22.12674,20.54452,19.25654,18.78898,0.6067939,0.1381827,0.05123856,0.02314917,0.06642006,22.37006,22.14577,20.60636,19.3172,18.89721,0.6731713,0.2842104,0.0976392,0.05196238,0.1366029,0.1123760999999999,0.08756268,0.06057546,0.04501405,0.03348219,1.2376487206727196e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.67751,-0.54624476,24523222128.918945,0.3636663,73569666386.75684,2119411161870.1128,23.55581,21.02188,20.16107,19.56741,19.02776,0.8658142,0.1355015,0.04867502,0.03267269,0.1041501,28.16863,21.29397,20.22259,19.65531,19.10806,0.3659600999999999,0.2051116,0.1355826,0.1177206999999999,0.2507001,0.1109305,0.08643629,0.05979622,0.044435,0.03305148,1.2376487206727196e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.6856,-0.48298379,35942033716.221535,0.465675,107826101148.6646,3838140226379.7017,21.50825,22.38474,20.51711,19.71899,19.57839,0.4789884,0.1348321,0.0510258,0.02771251,0.1008873,22.84469,23.21328,20.56138,19.72738,19.80512,0.8658264000000001,0.7163826999999999,0.09238214,0.06731273,0.2447251000000001,0.1161411,0.0904963999999999,0.06260499,0.04652222,0.03460398,1.23764872067272e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.76824,-0.56558463,83685794053.6923,0.4453735,251057382161.0769,18674780741686.56,23.11169,21.42396,19.44021,18.75499,18.51911,1.426316,0.101472,0.03534896,0.02458503,0.07244778,23.69957,21.44045,19.61803,18.84778,18.53263,3.950513,0.3044167,0.08762848,0.06358753,0.2107798,0.1107208999999999,0.08627297,0.05968324,0.04435105,0.03298903,1.23764872067272e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.83106,-0.58027663,69921293324.54718,0.5153147,209763879973.64157,13009342185194.158,21.65609,21.76069,20.31967,19.37376,18.74863,1.026474,0.1209204,0.0626515,0.02658656,0.0568189,23.05593,21.80456,20.34658,19.38196,18.80323,1.190999,0.2070581,0.1139514,0.08686648,0.1222421,0.1075526,0.08380422,0.05797537,0.04308191,0.03204503,1.2376487206727852e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.88065,-0.45097158,277083768602.6626,0.6535631,831251305807.9878,267196311753373.0,25.18321,23.5888,20.08195,19.38352,18.43567,0.8458421999999999,0.4347098,0.08435702,0.049614,0.1949316,25.0088,21.97048,19.9345,19.38047000000001,18.35598,11.36223,1.114829,0.1531842,0.2237942999999999,0.3439268,0.1188357999999999,0.09259606,0.06405753,0.04760161,0.03540685,1.2376487206727854e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.84753,-0.51736965,48879270294.06532,0.6938166,146637810882.19595,6574065272187.678,22.21996,22.14565,21.37532,19.53556,19.84387000000001,0.5695137,0.4446202999999999,0.1177293,0.04425275,0.1321907,22.78978,23.40231,21.57704,19.98635,20.2352,0.9429447,0.6965718000000001,0.2015122999999999,0.09742843,0.3496555,0.1137425,0.08862741,0.06131203,0.04556141,0.03388932,1.2376487206727857e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.87896999999998,-0.46943906,55812701076.12642,0.5602435,167438103228.37927,8411952253522.003,21.41024,23.00586,20.92476,19.89176,19.26069,0.8442083,0.2388333,0.06415019,0.03355459,0.07867151,23.44642,24.66929,20.81291,19.62912,19.29012,2.321567,3.910948,0.2226926,0.2645985,0.3005113,0.1177222,0.09172837,0.06345727,0.04715555,0.03507506,1.2376487206727857e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.88331000000002,-0.48707817,194984088542.4409,0.6109201999999999,584952265627.3225,117341152577297.92,23.08328,23.0247,19.97552,19.25383,18.84019,1.393864,0.2627864,0.08022778,0.04727995,0.1145773,20.4334,25.1441,20.55649,19.60339,18.77104,0.1669617,3.210375,0.1446943,0.09789272,0.1708621,0.1165297,0.09079918,0.06281445,0.04667787,0.03471976,1.2376487206727857e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
131.93293,-0.53519261,37854499886.02444,0.410008,113563499658.0733,4187953415136.773,24.0948,21.23331,20.07329,18.80842,19.29402,1.220975,0.1021086,0.04480315,0.03438114,0.1090123,26.02001,21.25287,20.04674,18.96276,19.93938,3.529049,0.5853965999999999,0.2608192,0.1291997,1.079689,0.1152321,0.08978808,0.06211498,0.04615809,0.03433314,1.2376487206728504e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.02952,-0.61697126,81300855543.0154,0.6248475,243902566629.0462,17605995728951.582,25.17842000000001,22.5171,20.50628,19.68885,19.50524,0.7757396,0.2026227,0.1335703,0.04267725,0.1033916999999999,27.372640000000004,22.73096,20.73669,19.6311,20.76583,0.7821371,0.8620095,0.125783,0.112495,1.250458,0.1158796,0.09029259,0.062464,0.04641744,0.03452605,1.2376487206728512e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
132.21294,-0.60527107,73010967918.64113,0.5388542,219032903755.9234,14176574881630.408,20.82938,22.08449,20.66403,19.38404,18.82253,0.4519207999999999,0.1294975,0.06114749,0.03161308,0.085562,22.69366,22.13934,20.57401,19.48419,19.14189,1.15623,0.4675912999999999,0.1493247,0.0964253,0.2129843,0.1248201,0.09725896,0.0672833,0.0499987,0.03718985,1.237648720672916e+18,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
